name,city,url,vendor,evidence_url,tool,notes
"Park on 14th | Apartments in Plano, TX",Plano,https://www.park14plano.com/,blocked,,httpx,All requests blocked (403 Forbidden)
"The Annabel at Assembly Park Apartments in Plano, TX",Plano,https://theannabelatassemblypark.com/,unknown,,httpx,"71 links, 9 portal links"
"The Bridge at Heritage Creekside – Upscale Living | Plano, TX",Plano,https://www.thebridgeplano.com/,RealPage,https://7613495.onlineleasing.realpage.com,httpx,"76 links, 6 portal links"
Plano apartments for rent | The Westside,Plano,https://liveatthewestside.com/,Entrata,keyword:entrata,httpx,"53 links, 3 portal links"
"Apartments in Plano, TX | Cortland North Plano",Plano,https://cortland.com/apartments/cortland-north-plano/,unknown,,httpx,"94 links, 6 portal links"
Richardson Neighborhood - MAA,Mixed,https://www.maac.com/texas/dallas/richardson/,Yardi,https://maac.securecafe.com/residentservices/apartmentsforrent/userlogin.aspx,httpx,"31 links, 2 portal links"
"The Buckley: Discover Apartments in Plano, TX",Mixed,https://thebuckleyplano.com/,unknown,,httpx,"57 links, 3 portal links"
Cross Creek Apartments,Mixed,https://thecrosscreek.com/,blocked,,httpx,All requests blocked (403 Forbidden)
Camden Buckingham - Richardson,Mixed,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham,RealPage,keyword:realpage,httpx,"112 links, 11 portal links"
"Richardson, TX Apartments for Rent",Mixed,https://www.camdenliving.com/apartments/richardson-tx,RealPage,keyword:realpage,httpx,"42 links, 7 portal links"
"1 & 2 Bedroom Apartments in Richardson, TX - Camden ...",Mixed,https://www.camdenliving.com/apartments/richardson-tx/camden-buckingham/available-apartments,RealPage,keyword:realpage,httpx,"78 links, 11 portal links"
Contact Us - Bluerock Real Estate,Mixed,https://bluerock.com/contact-us/,unknown,,httpx,"30 links, 0 portal links"
Morada Plano Apartments,New,https://www.moradaplano.com/,blocked,,httpx,All requests blocked (403 Forbidden)
"Bel Air Downtown | Apartments in Plano, TX",New,https://www.belairdowntown.com/,blocked,,httpx,All requests blocked (403 Forbidden)
"Apartments for Rent in Plano, TX | @15TH – Home",New,https://www.at15th.com/,RealPage,https://cdn-dam.realpage.com/api/v1/dimg/1000x1000/633f56fb267b269b17ac29e13cb1d866.38fafa7c7b/-15th_1200E15thSt_II-3770465_PHO_07.jpg,httpx,"112 links, 8 portal links"
West Plano Apartments,New,https://cortland.com/apartments/cortland-west-plano/,unknown,,httpx,"100 links, 6 portal links"
West Plano Apartments | Cortland Arbor Hills,New,https://cortland.com/apartments/cortland-arbor-hills/,unknown,,httpx,"93 links, 6 portal links"
Cortland North Plano | Plano TX,New,https://www.facebook.com/cortlandnorthplano/,unknown,,httpx,"0 links, 0 portal links"
"1, 2, 3, & 4 Bedroom Apartments | Cortland North Plano",New,https://cortland.com/apartments/cortland-north-plano/floorplans/,unknown,,httpx,"179 links, 6 portal links"
Plano Apartments for Rent,New,https://www.udr.com/dallas-apartments/plano/,unknown,,httpx,"37 links, 4 portal links"
Dallas Apartments for Rent,New,https://www.udr.com/dallas-apartments/,unknown,,httpx,"101 links, 4 portal links"
Legacy Village Apartment Homes | Plano TX,New,https://www.udr.com/dallas- apar,error,,httpx,"Client error '404 Not Found' for url 'https://www.udr.com/dallas-%20apar'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
"The Flats at Palisades Apartments in Richardson, Texas",New,https://www.udr.com/dallas-apartments/richardson/the-flats-at-palisades/,RealPage,keyword:onlineleasing,httpx,"85 links, 7 portal links"
