Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
Park Residences Plano,1109 Park Vista Rd,Plano,Texas,318,sold,,2026-03-12,Park Residences Plano West LLC,,(469) 250-7765,,https://www.parkresidences-plano.com/ (2026-09-26),Texas county property records,https://data.texas.gov/d/5tkr-3759
304-unit project at Spring Creek Pkwy & K Ave,"North side of Spring Creek Pkwy, 375 ft east of K Ave, Plano, TX",Plano,Texas,304,planned,,,,,,,,City filing,https://content.civicplus.com/api/assets/ac54ba65-bc6a-4347-92d9-239d91767bd3
Lakeshore At Preston Apartments,3700 Preston Rd,Plano,Texas,302,sold,,2024-09-26,Simfa Lakeshore Fee Simple LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Axis 3700,3700 Mapleshade Ln,Plano,Texas,300,sold,,,Apartments Axis Spe LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Bellevue At Spring Creek Apartments,2401 W Spring Creek Pkwy,Plano,Texas,278,sold,,2025-06-24,Spring Creek 278 LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Ellington,4701 Preston Park Blvd,Plano,Texas,266,sold,,2026-07-08,S2 Preston Park LP,,(469) 829-4590,,https://www.liveellington.com/ (2026-09-26),Texas county property records,https://data.texas.gov/d/5tkr-3759
The Parks at Legacy West,"6501 Legacy Drive, Plano, TX",Plano,Texas,261,under construction,2029-02-01,,,,,,,News,https://candysdirt.com/2026/07/10/streetlights-residential-bets-on-older-affluent-renters-with-new-plano-luxury-tower/
Woodlands Of Plano Apartments Tc,1300 Rigsbee Dr,Plano,Texas,232,sold,,,Clover Woodlands Plano Owner LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Hathaway At Willow Bend,2525 Preston Rd,Plano,Texas,229,sold,,2026-06-24,Winston Gt Holdings LP,,945-298-3852,S2 Residential,https://www.liveatthehathaway.com/contact/ (2026-09-26),Texas county property records,https://data.texas.gov/d/5tkr-3759
The Wexley,5401 Independence Pkwy,Plano,Texas,204,sold,,2025-08-01,Harvestree Owner LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Orchards Market Plaza Senior Apts,3640 Mapleshade Ln,Plano,Texas,178,sold,,2026-07-17,Csh Plano Act LLC,,(469) 666-4205,Greystar,https://www.greystar.com/the-orchards-market-plaza-plano-plano-tx/p_20785 (2026-09-26),Texas county property records,https://data.texas.gov/d/5tkr-3759
The Holland,8020 Windrose Ave,Plano,Texas,175,sold,,2025-04-22,Lw Residential Partners LP,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Overture Plano Senior Apartments,500 Coit Rd,Plano,Texas,168,sold,,2025-09-26,Dhc Hyb Slc Properties LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
The Calvin,2501 Ohio Dr,Plano,Texas,167,sold,,2024-12-13,Rc Calvin LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Instrata At Legacy West,7850 Communications Pkwy,Plano,Texas,161,sold,,2025-04-28,Lw Owner 2 LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Alta Vista Apartments,700 18Th St,Plano,Texas,133,sold,,2025-02-07,Alta Vista Apartments & Tjfl Legacy LP,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Aspen Court Apartments,1600 Amelia Ct,Plano,Texas,70,sold,,2025-05-03,Amelia 77 LLC,,,,,Texas county property records,https://data.texas.gov/d/5tkr-3759
Haggard Farm Townhomes,,Plano,Texas,,planned,,,,,,,,City filing,https://plano.legistar.com/LegislationDetail.aspx?ID=1540
Collin Creek Multifamily,"811 N Central Expressway, Plano, TX 75075",Plano,Texas,,permitted,2027-07-30,,,,,,,City filing,https://www.zabalist.com/projects/TABS2026023342
Haggard Farm,"Spring Creek Parkway and Parkwood Boulevard, Plano, TX 75024",Plano,Texas,,under construction,2027-10-01,,,,,,,News,https://communityimpact.com/plano/development/haggard-farm-development-going-vertical-in-coming-months/
Collin Creek Multifamily S1,811 N Central Expressway,Plano,Texas,,under construction,2027-07-30,,,Centurion American,(469) 892-7200,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023342
Maranello - Premier Auto Residences,Mapleshade LN -NE corner appr. 235 LF east of Ohio,Plano,Texas,,under construction,2026-03-23,,,"Maranello – Plano, LP",(214) 597-3569,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025004910
The Legacy at Willow Bend Expansion - FLATS,6101 Ohio Dr.,Plano,Texas,,under construction,2026-05-01,,,The Legacy at Willow Bend Retirement Community Inc,(972) 468-6166,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006463
