Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
E. MLK Apartment,4810 E. MLK Blvd,Austin,Texas,,under construction,2027-12-01,,,2654 Imperial Crossing LLC,(281) 296-2367,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010049
Epitome Thaxton Multi-Family,8318 Thaxton Rd,Austin,Texas,,under construction,2026-08-30,,,Epitome Development,(281) 216-9630,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010869
HELU Blanco Trace Multifamily / The Entrada at San Marcos Bldg 1,428 Ivory St BLDG 1,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
Lively Lane Phase 2 Townhouses Bldg 2 LW Unit C,1911 Dutton Dr Unit C,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
Moontower Flats,1910 E Martin Luther King Jr Blvd,Austin,Texas,,under construction,2027-07-31,,,Building/Facility Owner: Texas State Affordable Housing Corporation,(512) 477-3562,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020604
Oak Springs Apartments,2900 Oak Springs,Austin,Texas,,under construction,2028-10-31,,,2900 Oak Springs Horizontal Investors LP,(512) 774-4750,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007992
Oak Street Family Multi-Family,401 E Oak Street,Granger,Texas,,under construction,2028-04-01,,,Hyo Sop Kim,(512) 565-0980,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015953
Quarry Oaks Apartments,10911 Stonelake Boulevard,Austin,Texas,,under construction,2028-09-01,,,"10911 Stonelake, LP",(512) 638-2139,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018898
San Antonio Courtyard Duplexes/Rental New Bldg 1 Apt 101 and Apt 102,411 W San Antonio St Apt 101,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
San Marcos Student Housing / Lindsey St Apartments New Bldg 1,419 North St,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
San Marcos Student Housing / Lindsey St Apartments New Bldg 2,420 North St,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
San Marcos Student Housing / Lindsey St Apartments New Bldg 3,435 N Comanche St,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
The Heritage at Cottonwood Creek Multi-Family Apartments Bldg 1,4530 Hwy 123 Bldg 1,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
The Ridge Apartments,8515 FM 969 Rd,Austin,Texas,,permitted,2028-07-01,,,3423 Investments LLC & MF Austin Ridge LLC,(512) 452-9902,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2027002013
The Springs Apartments Club / Bldg1,316 Northgate Rd Bldg 1,San Marcos,Texas,,permitted,,,,,,,,City of San Marcos building permits,https://www.sanmarcostx.gov/254/Building-Permits
