Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
18300 Marvelous Pl,18300 Marvelous Pl,Cypress,Texas,378,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
2033 S Gessner Rd,2033 S Gessner Rd,Houston,Texas,376,sold,,2025-04-10,Gessner Road Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
1911 Holcombe Blvd,1911 Holcombe Blvd,Houston,Texas,375,sold,,2025-08-12,Vantage Armando LLC,,,,,Harris County records (search by address),https://public.hcad.org/
3030 Summer St,3030 Summer St,Houston,Texas,375,sold,,2024-09-23,Brep Summer LLC,,,,,Harris County records (search by address),https://public.hcad.org/
16112 North Fwy,16112 North Fwy,Houston,Texas,372,sold,,2025-06-24,Life At Spring Estates Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
1700 Seaspray Ct,1700 Seaspray Ct,Houston,Texas,372,sold,,2025-04-15,Pecos Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
3001 W 11th St,3001 W 11th St,Houston,Texas,371,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
23030 Cunningham Falls Trl,23030 Cunningham Falls Trl,Katy,Texas,370,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
11201 Olympia Dr,11201 Olympia Dr,Houston,Texas,369,sold,,2025-12-18,Quinn Westchase Apartments LLC,,,,,Harris County records (search by address),https://public.hcad.org/
2101 Hayes Rd,2101 Hayes Rd,Houston,Texas,367,sold,,2025-11-05,Rc 2101 Hayes LLC,,,,,Harris County records (search by address),https://public.hcad.org/
The Arboretum at Woodland Hills,SE corner of FM1960 and Woodland Hills Dr,Houston,Texas,366,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Park Row Apartments,14192 Park Row Dr.,Houston,Texas,360,under construction,2028-02-15,,,"OHT Park Row, LP",(512) 220-7816,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003096
Tapestry at Katy (fka Enclave at Katy),5138 & 5202 Katy Hockley Road,Katy,Texas,360,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
Enclave on Louetta,2324 Louetta Road,Spring,Texas,358,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
5004 Memorial Dr,5004 Memorial Dr,Houston,Texas,356,sold,,2025-09-23,Comref Memorial LLC,,,,,Harris County records (search by address),https://public.hcad.org/
7655 Washington Ave,7655 Washington Ave,Houston,Texas,356,sold,,2025-05-01,Pleasanton Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
1226 W Grand Pky S,1226 W Grand Pky S,Katy,Texas,354,sold,,2025-11-25,Ag-Hilltop Grand Parkway,,,,,Harris County records (search by address),https://public.hcad.org/
1148 Silber Rd,1148 Silber Rd,Houston,Texas,352,sold,,2025-08-20,Memorial Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
13202 Briar Forest Dr,13202 Briar Forest Dr,Houston,Texas,352,sold,,2025-05-15,Pecos Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
9302 Fry Rd,9302 Fry Rd,Cypress,Texas,351,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
14818 Vintage Preserve Pky,14818 Vintage Preserve Pky,Houston,Texas,350,sold,,2025-05-13,Vintage Park Apartments LLC,,,,,Harris County records (search by address),https://public.hcad.org/
24720 Morton Ranch Rd,24720 Morton Ranch Rd,Katy,Texas,348,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
10919 Fondren Rd,10919 Fondren Rd,Houston,Texas,346,sold,,2024-12-04,Willows Apts LLC,,,,,Harris County records (search by address),https://public.hcad.org/
1335 Silverado Dr,1335 Silverado Dr,Houston,Texas,344,sold,,2025-04-01,Pecos Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
Reserve at Ella,867 Rushcreek Drive,Houston,Texas,344,planned,,,,,(210) 771-4127,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/htc-4pct/2026260803-4HTC-StatusLog.xlsx
16717 Westpark Dr,16717 Westpark Dr,Houston,Texas,341,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
2315 Navigation Blvd,2315 Navigation Blvd,Houston,Texas,341,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
11305 Grant Rd,11305 Grant Rd,Cypress,Texas,339,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
702 Hadley St,702 Hadley St,Houston,Texas,337,sold,,2025-06-10,Re III Reshi Houston III De LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8047 Grow Ln,8047 Grow Ln,Houston,Texas,337,sold,,2025-06-03,Cf 7835 Grow Lane Quail I LLC,,,,,Harris County records (search by address),https://public.hcad.org/
Groves Apartments,15910 Woodland Hills Drive,Humble,Texas,336,under construction,2026-09-30,,,"RK Commercial Properties, Inc.",(210) 326-1119,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003997
10300 Spring Cypress Rd,10300 Spring Cypress Rd,Tomball,Texas,330,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
12700 Greenhouse Rd,12700 Greenhouse Rd,Cypress,Texas,330,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
21021 Aldine Westfield Rd,21021 Aldine Westfield Rd,Houston,Texas,330,sold,,2025-03-18,Pleasanton Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
2121 Mid Ln,2121 Mid Ln,Houston,Texas,329,sold,,2024-10-22,Gwl Direct 2121 Mid LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8501 Broadway Blvd,8501 Broadway Blvd,Houston,Texas,328,sold,,2025-11-04,Oconee Real Estate Holdings,,,,,Harris County records (search by address),https://public.hcad.org/
1215 Sawyer St,1215 Sawyer St,Houston,Texas,327,sold,,2024-09-26,Sawyer Yards Holdco LP,,,,,Harris County records (search by address),https://public.hcad.org/
17417 W Lake Houston Pky,17417 W Lake Houston Pky,Humble,Texas,327,sold,,2025-11-27,Ag-Hilltop Harper At Lake Houston,,,,,Harris County records (search by address),https://public.hcad.org/
5740 San Felipe St,5740 San Felipe St,Houston,Texas,327,sold,,2024-12-17,Hsr Tanglewood LLC,,,,,Harris County records (search by address),https://public.hcad.org/
641 W Crosstimbers St,641 W Crosstimbers St,Houston,Texas,327,sold,,2025-11-12,Rpmi 641 W Crosstimbers St Owner LLC C/O Ryan LLC,,,,,Harris County records (search by address),https://public.hcad.org/
10522 Beechnut St,10522 Beechnut St,Houston,Texas,326,sold,,2025-07-01,900 Title Jefferson LLC C/O Cw Capital Assest Management LLC,,,,,Harris County records (search by address),https://public.hcad.org/
2002 Spring Stuebner Rd,2002 Spring Stuebner Rd,Spring,Texas,326,sold,,2025-03-12,Echo Springwoods Residential LLC,,,,,Harris County records (search by address),https://public.hcad.org/
2511 Willowick Rd,2511 Willowick Rd,Houston,Texas,326,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
9999 Kempwood Dr,9999 Kempwood Dr,Houston,Texas,326,sold,,2025-11-19,10010 Kempwood Drive LP,,(832) 621-4561,Greystar,https://www.greystar.com/3-corners-east-houston-tx/p_17901 (2026-09-26),Harris County records (search by address),https://public.hcad.org/
12121 Greenspoint Mall,12121 Greenspoint Mall,Houston,Texas,325,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
4641 Montrose Blvd,4641 Montrose Blvd,Houston,Texas,325,sold,,2025-08-13,Chelsea Armando LLC,,,,,Harris County records (search by address),https://public.hcad.org/
10070 Westpark Dr,10070 Westpark Dr,Houston,Texas,324,sold,,2025-05-05,La Villa Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
1855 Wirt Rd,1855 Wirt Rd,Houston,Texas,324,sold,,2025-06-20,Fbrt Banyan Palms Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
5555 Holly View Dr,5555 Holly View Dr,Houston,Texas,324,sold,,2025-03-18,Pecos Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
9300 N Sam Houston Pky E,9300 N Sam Houston Pky E,Humble,Texas,324,sold,,2025-03-06,Pleasanton Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
8801 Glencrest St,8801 Glencrest St,Houston,Texas,322,sold,,2024-11-12,Verde Apartment Protfollio One LLC,,,,,Harris County records (search by address),https://public.hcad.org/
16848 W Lake Houston Pky,16848 W Lake Houston Pky,Humble,Texas,320,sold,,2025-09-17,At Parkway LP,,,,,Harris County records (search by address),https://public.hcad.org/
2323 W Bay Area Blvd,2323 W Bay Area Blvd,Webster,Texas,320,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
6301 Almeda Rd,6301 Almeda Rd,Houston,Texas,320,sold,,2024-12-18,Maverick County Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
14220 Park Row Dr,14220 Park Row Dr,Houston,Texas,318,sold,,2025-05-19,Pecos Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
225 S Heights Blvd,225 S Heights Blvd,Houston,Texas,318,sold,,2025-08-15,Whitmore Apartments Owner LP,,,,,Harris County records (search by address),https://public.hcad.org/
2421 Spring Stuebner Rd,2421 Spring Stuebner Rd,Spring,Texas,318,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
3740 Barker Cypress Rd,3740 Barker Cypress Rd,Houston,Texas,314,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
6310 Dumfries Dr,6310 Dumfries Dr,Houston,Texas,314,sold,,2025-05-27,Ashford Casa Serena Property Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
938 Kingwood Dr,938 Kingwood Dr,Humble,Texas,312,sold,,2025-02-24,Cws Kingwood Spe LLC,,,,,Harris County records (search by address),https://public.hcad.org/
550 Westlake Park Blvd,550 Westlake Park Blvd,Houston,Texas,311,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
2500 E James St,2500 E James St,Baytown,Texas,308,sold,,2025-06-30,PA 2500 LLC,,,,,Harris County records (search by address),https://public.hcad.org/
3500 Red Bluff Rd,3500 Red Bluff Rd,Pasadena,Texas,308,sold,,2024-10-02,Tpcg Beverly LLC,,,,,Harris County records (search by address),https://public.hcad.org/
4200 Scotland St,4200 Scotland St,Houston,Texas,308,sold,,2025-05-14,Ar Mim Memorial Hills Owner LP,,,,,Harris County records (search by address),https://public.hcad.org/
2218 Greenhouse Rd,2218 Greenhouse Rd,Houston,Texas,306,sold,,2025-12-16,Reev I - 2218 Greenhouse LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8222 Kingsbrook Rd,8222 Kingsbrook Rd,Houston,Texas,306,sold,,2025-12-08,Thfha LLC,,,,,Harris County records (search by address),https://public.hcad.org/
2623 Keene St,2623 Keene St,Houston,Texas,304,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
4343 Woodhead St,4343 Woodhead St,Houston,Texas,303,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
529 Barker Clodine Rd,529 Barker Clodine Rd,Houston,Texas,302,sold,,2025-01-03,Sync At Green Trails Owner LP,,,,,Harris County records (search by address),https://public.hcad.org/
7302 Corporate Dr,7302 Corporate Dr,Houston,Texas,302,sold,,2025-06-27,Rubicon Arowana LLC,,,,,Harris County records (search by address),https://public.hcad.org/
21077 Kingsland Blvd,21077 Kingsland Blvd,Katy,Texas,300,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
411 S Bender Ave,411 S Bender Ave,Humble,Texas,300,sold,,2025-03-18,Pecos Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
EMLI at Mesa Gardens,10199 Mesa Drive,Houston,Texas,300,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
2300 Mccue Rd,2300 Mccue Rd,Houston,Texas,299,sold,,2025-09-17,Blue Atlantic Montecito LP,,,,,Harris County records (search by address),https://public.hcad.org/
23933 Kingsland Blvd,23933 Kingsland Blvd,Katy,Texas,298,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
2311 Mid Ln,2311 Mid Ln,Houston,Texas,297,sold,,2025-05-30,Bvf-Vi Ivy Owner LP,,,,,Harris County records (search by address),https://public.hcad.org/
300 N Vista Dr,300 N Vista Dr,Houston,Texas,296,sold,,2025-08-05,Tl-I LLC,,,,,Harris County records (search by address),https://public.hcad.org/
9550 Meyer Forest Dr,9550 Meyer Forest Dr,Houston,Texas,296,sold,,2025-10-07,Pre Lakeside LLC,,,,,Harris County records (search by address),https://public.hcad.org/
4811 E Sam Houston Pky S,4811 E Sam Houston Pky S,Pasadena,Texas,294,sold,,2025-09-05,G&I Xi Creshaw LP,,,,,Harris County records (search by address),https://public.hcad.org/
2825 W 11th St,2825 W 11th St,Houston,Texas,293,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
6500 W 43rd St,6500 W 43rd St,Houston,Texas,292,sold,,2024-11-05,Citibank N A Keybank National Association,,,,,Harris County records (search by address),https://public.hcad.org/
700 Cavalcade St,700 Cavalcade St,Houston,Texas,292,sold,,2025-12-10,Hilltop Ellory Heights Property Owner LP,,,,,Harris County records (search by address),https://public.hcad.org/
333 Uvalde Rd,333 Uvalde Rd,Houston,Texas,291,sold,,2025-05-06,900 Title Jefferson LLC % Cwcapital Asset Management LLC,,,,,Harris County records (search by address),https://public.hcad.org/
9001 Jones Rd,9001 Jones Rd,Houston,Texas,290,sold,,2025-03-26,Cep Avaya Steeplechase De LLC,,,,,Harris County records (search by address),https://public.hcad.org/
14900 Memorial Dr,14900 Memorial Dr,Houston,Texas,288,sold,,2025-08-11,14900 Memorial Drive Owner LLC,,,,,Harris County records (search by address),https://public.hcad.org/
17935 Hunters Terrace Dr,17935 Hunters Terrace Dr,Humble,Texas,288,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
20525 Holzwarth Rd,20525 Holzwarth Rd,Spring,Texas,288,sold,,2025-05-13,Holzwarth Rd Apartments LLC,,,,,Harris County records (search by address),https://public.hcad.org/
5100 FM 1960 Rd W,5100 FM 1960 Rd W,Houston,Texas,288,sold,,2025-05-05,La Villa Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
1111 Rusk St,1111 Rusk St,Houston,Texas,286,sold,,2025-07-11,Hsc Star LP,,,,,Harris County records (search by address),https://public.hcad.org/
6201 W Bellfort St,6201 W Bellfort St,Houston,Texas,284,sold,,2025-07-25,Oakwood Villa Apartments LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8877 Frankway Dr,8877 Frankway Dr,Houston,Texas,284,sold,,2025-01-28,Maverick County Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
Cordova Apartments,6160 Madden Lane,Houston,Texas,283,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
19606 Park Row Dr,19606 Park Row Dr,Houston,Texas,280,sold,,2025-09-25,Terra Spe LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8162 Richmond Ave,8162 Richmond Ave,Houston,Texas,280,sold,,2025-05-20,La Villa Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
9404 West Rd,9404 West Rd,Houston,Texas,280,sold,,2025-10-21,Lsc Discovery Owner LLC Et Al,,,,,Harris County records (search by address),https://public.hcad.org/
2410 S Kirkwood Rd,2410 S Kirkwood Rd,Houston,Texas,279,sold,,2025-11-03,2410 South Kirkwood Road Holdings LP,,,,,Harris County records (search by address),https://public.hcad.org/
12211 Summer Creek Trace Dr,12211 Summer Creek Trace Dr,Houston,Texas,278,sold,,2025-04-30,Hpi Westlake LLC,,,,,Harris County records (search by address),https://public.hcad.org/
505 Wells Fargo Dr,505 Wells Fargo Dr,Houston,Texas,276,sold,,2025-06-03,Lsf Houston LLC,,,,,Harris County records (search by address),https://public.hcad.org/
9465 Clearwood Dr,9465 Clearwood Dr,Houston,Texas,276,sold,,2024-12-03,Bds III TX Clearwood Villas LLC Ryan Mcgrath,,,,,Harris County records (search by address),https://public.hcad.org/
409 Travis St,409 Travis St,Houston,Texas,274,sold,,2025-01-28,Hsc Aris LLC Et Al,,,,,Harris County records (search by address),https://public.hcad.org/
22022 Cimarron Pky,22022 Cimarron Pky,Katy,Texas,272,sold,,2025-03-29,Pecos Housing Finance Coproration,,,,,Harris County records (search by address),https://public.hcad.org/
14403 Ella Blvd,14403 Ella Blvd,Houston,Texas,268,sold,,2025-10-27,Af1 Property LLC,,,,,Harris County records (search by address),https://public.hcad.org/
8901 Bissonnet St,8901 Bissonnet St,Houston,Texas,268,sold,,2025-11-19,Amg Stone River LLC,,,,,Harris County records (search by address),https://public.hcad.org/
9447 Concourse Dr,9447 Concourse Dr,Houston,Texas,268,sold,,2025-11-07,Oconee Real Estate Holdings Xviii,,,,,Harris County records (search by address),https://public.hcad.org/
19939 Longenbough Rd,19939 Longenbough Rd,Cypress,Texas,266,under construction,,,,,,,,Harris County records (search by address),https://public.hcad.org/
1800 Barker Cypress Rd,1800 Barker Cypress Rd,Houston,Texas,264,sold,,2025-05-12,Pecos Housing Finance Corp,,,,,Harris County records (search by address),https://public.hcad.org/
2345 Bering Dr,2345 Bering Dr,Houston,Texas,264,sold,,2025-01-23,Phoenician Multifamily Partners LP,,,,,Harris County records (search by address),https://public.hcad.org/
Willow Creek Manor,10621 Cossey Road,Houston,Texas,264,planned,,,,,,,,Texas housing tax-credit inventory (XLSX),https://www.tdhca.texas.gov/sites/default/files/multifamily/docs/HTCPropertyInventory_2.xlsx
10373 N Sam Houston Pky E,10373 N Sam Houston Pky E,Humble,Texas,260,sold,,2025-02-25,Humble- Eagle Creek Apts LLC,,,,,Harris County records (search by address),https://public.hcad.org/
14000 Ella Blvd,14000 Ella Blvd,Houston,Texas,258,sold,,2025-08-05,Tl-I LLC,,,,,Harris County records (search by address),https://public.hcad.org/
2150 Katy Fort Bend Rd,2150 Katy Fort Bend Rd,Katy,Texas,258,sold,,2025-04-01,Cws Katy LP,,,,,Harris County records (search by address),https://public.hcad.org/
6500 Dunlap St,6500 Dunlap St,Houston,Texas,258,sold,,2025-02-18,Pecos Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
1414 S Dairy Ashford Rd,1414 S Dairy Ashford Rd,Houston,Texas,256,sold,,2025-10-01,Kv Aventura 1414 Apartments LLC,,,,,Harris County records (search by address),https://public.hcad.org/
5110 Azalea Trace Dr,5110 Azalea Trace Dr,Houston,Texas,256,sold,,2025-04-03,Pecos Housing Finance Corporation,,,,,Harris County records (search by address),https://public.hcad.org/
