id,found_name,phone,management_company,email,source_url,found_on,notes
tx-250-e-arapaho-rd-richardson-tx-75081-legacy-arapaho,Legacy Arapaho,,Legacy Partners (developer; opens ~Nov 2028 so no leasing office yet),,https://communityimpact.com/richardson/government/443-unit-apartment-complex-approved-by-richardson-city-council/,2026-09-26,
tx-12610-jupiter-rd-twelve-6-ten-at-the-park,Birch Apartment Homes (was Twelve 6 Ten at the Park),855-914-5089,Live BH,,https://www.birchaptsliving.com/,2026-09-26,
tx-5925-frontier-blvd-knowlton-apartments,Knowlton II,(972) 748-3705,Live BH,,https://livebh.com/apartments/knowlton-apartment-homes/,2026-09-26,
tx-6410-escena-blvd-amli-at-escena-ii,AMLI at Escena II,(855) 433-1218,AMLI Residential,,https://www.amli.com/apartments/dallas/las-colinas-apartments/amli-at-escena/contact,2026-09-26,
tx-8850-fair-oaks-crossing-forest-ridge,Forest Ridge Apartments,(972) 823-9677,,,https://www.forestridgedallas.com/contact,2026-09-26,
tx-6445-love-dr-allura,Allura Las Colinas,(972) 787-1607,Fairfield Residential,,https://www.rentcafe.com/apartments/tx/irving/allura-las-colinas/default.aspx,2026-09-26,
tx-5800-northwest-dr-knowlton,Knowlton Apartment Homes,866-646-7701,Ashland Greene (AG Living),,https://www.agliving.co/communities/texas/mesquite/knowlton-apartment-homes,2026-09-26,
tx-1401-elm-st-the-national,The National Residences,(469) 638-8137,,,https://www.thenationalresidences.com/contact-us/,2026-09-26,
tx-4260-e-us-hwy-80-forty200,Forty200,(972) 289-1931,Brazos Residential,,https://www.brazosforty200.com/contactus,2026-09-26,
tx-4010-linkwood-dr-4010-linkwood-dr,Stratford House Apartments,(832) 742-1945,,,https://www.stratfordhouseapts.com/,2026-09-26,
tx-15480-dallas-pkwy-imt-prestonwood,IMT Prestonwood,(469) 829-6514,IMT Residential,,https://www.apartments.com/imt-prestonwood-dallas-tx/kvrh35c/,2026-09-26,
tx-12300-fleming-dr-12300-fleming-dr,Falls of Birchbrook,(713) 455-1776,,,https://www.zumper.com/apartment-buildings/p98895/falls-of-birchbrook-northshore-houston-tx,2026-09-26,
tx-10221-centrepark-dr-10221-centrepark-dr,The Lodge at Spring Shadows,(346) 771-8120,,,https://thelodgeatspringshadows.com/contact/,2026-09-26,
tx-9475-w-sam-houston-pky-s-9475-w-sam-houston-pky-s,Monarch West (was The Terrace at Sam Houston),(346) 200-9871,,,https://www.monarchwestapts.com/,2026-09-26,
tx-9600-golf-lakes-trl-lakeside-at-northpark,Lakeside Apartments,(214) 361-9235,AWM Management,lakeside@awmmanagement.com,https://lakesidedallas.com/contact,2026-09-26,
tx-8181-colony-st-8181-colony-st,Riveraine Apartments,713-778-0800,,,https://www.riveraine.com/contact_us/,2026-09-26,
tx-13100-noel-rd-hazel-by-the-galleria,Hazel by the Galleria,(972) 640-9230,,,https://www.rentcafe.com/apartments/tx/dallas/hazel-by-the-galleria/default.aspx,2026-09-26,
tx-2901-blackburn-ardan,Ardan,(469) 862-0100,Mill Creek Residential,,https://www.ardanapts.com/,2026-09-26,
tx-1002-katy-gap-rd-1002-katy-gap-rd,The Century at Katy,(346) 771-5695,,,https://www.centuryapartmentskaty.com/contactus,2026-09-26,
tx-10010-kempwood-dr-10010-kempwood-dr,3 Corners North,(346) 637-3549,Greystar,,https://www.greystar.com/3-corners-north-houston-tx/p_17902,2026-09-26,
tx-555-promenade-pkwy-promenade-at-las-colinas,Promenade at Las Colinas,(469) 557-4570,RPM Living,promenadelascolinas@rpmliving.com,https://www.promenadelascolinas.com/contactus,2026-09-26,
tx-8627-hufsmith-rd-8627-hufsmith-rd,The Abbey at Preserve Way,(281) 351-5700,,,https://www.apartmentsspringtexas.com/Marketing/Contact,2026-09-26,
tx-12660-jupiter-rd-south-pointe,South Pointe,(469) 518-9993,American Landmark,southpointe@bellairemultifamily.com,https://www.southpointeapthomes.com/Contact.aspx,2026-09-26,
tx-655-promenade-pky-cortland-las-colinas,Cortland Las Colinas,(972) 833-8343,Cortland,,https://www.har.com/cortland-las-colinas-irving-tx/apartment_2831B,2026-09-26,
tx-11201-olympia-dr-11201-olympia-dr,The Corridor at Westchase,(281) 833-9900,,,https://www.lifeatthecorridor.com/,2026-09-26,
tx-2101-hayes-rd-2101-hayes-rd,The Quinn at Westchase,(832) 510-8533,,,https://www.thequinnatwestchase.com/contact-us/,2026-09-26,
tx-6001-love-dr-peregrine,Peregrine,(214) 241-1096,Willow Bridge Property Co,,https://www.willowbridgepc.com/properties/peregrine-irving-texas,2026-09-26,
tx-5415-maple-ave-maple-district-lofts,Maple District Lofts,(945) 262-7924,Bell Partners,,https://bellpartnersinc.com/properties/maple-district-lofts/,2026-09-26,
tx-2525-carlisle-st-gables-uptown-trails,Gables Uptown Trail (now listed as Griffis Uptown),(214) 871-2525,Gables Residential,,https://www.rentcafe.com/apartments/tx/dallas/gables-uptown-trail/default.aspx,2026-09-26,
tx-1226-w-grand-pky-s-1226-w-grand-pky-s,Parkside Cinco Ranch,(346) 375-5251,,,https://www.apartments.com/parkside-cinco-ranch-katy-tx/f7nksjv/,2026-09-26,
tx-6080-n-central-expy-eastline,Eastline Residences,(469) 423-9152,Westminster Management,,https://www.eastlineresidences.com/,2026-09-26,
tx-13301-galleria-pl-layers-of-galleria,Layers Galleria (also listed as Sola Galleria),(972) 361-0224,Greystar,,https://www.greystar.com/sola-galleria-farmers-branch-tx/p_11339,2026-09-26,
tx-8501-broadway-blvd-8501-broadway-blvd,Altair Residences (was Plaza at Hobby Airport),(281) 729-0636,,,https://www.plazaathobbyairport.com/,2026-09-26,
tx-17417-w-lake-houston-pky-17417-w-lake-houston-pky,Harper Lake Houston,(832) 409-2292,,,https://harperlakehouston.com/contact/,2026-09-26,
tx-641-w-crosstimbers-st-641-w-crosstimbers-st,The Brighton Garden Oaks,(346) 595-2640,,,https://brightongardenoaks.com/contact/,2026-09-26,
tx-8110-park-ln-heights-at-park-lane,The Heights at Park Lane,,Willow Bridge Property Co,,https://www.willowbridgepc.com/properties/heights-at-park-lane-dallas-tx,2026-09-26,
tx-900-lake-carolyn-pkwy-the-carolyn,The Carolyn (also listed as The Banks at Las Colinas),(214) 646-1788,Lincoln Property Group,,https://livethecarolyn.com/,2026-09-26,
tx-11991-audelia-rd-the-bernard,The Bernard,(469) 727-6226,Roscoe Properties,,https://www.thebernardaptsdallas.com/,2026-09-26,
tx-12111-audelia-rd-the-beckham,The Beckham,(469) 599-8335,,,https://www.thebeckhamapts.com/,2026-09-26,
tx-9669-forest-ln-the-blake,The Blake,(972) 954-2701,Avenue5 Residential,,https://www.apartments.com/the-blake-dallas-tx/yvczzgr/,2026-09-26,
tx-1531-inspiration-dr-alta-design-district-apts,Alta Design District,(214) 954-7210,,,https://www.altadesigndistrict.com/contactus,2026-09-26,
tx-2218-greenhouse-rd-2218-greenhouse-rd,Cortland Inkwell Greenhouse,(281) 524-2902,Cortland,,https://cortland.com/apartments/cortland-inkwell-greenhouse/,2026-09-26,
tx-8222-kingsbrook-rd-8222-kingsbrook-rd,Fox Hall Apartments,(713) 467-5066,,,https://www.foxhallapt.com/contact,2026-09-26,
tx-11333-amanda-ln-tides-at-highland-meadows-phase-1,Tides at Highland Meadows (now Meadows on Amanda Lane),(469) 206-9213,,,https://www.tidesathighlandmeadows.com/,2026-09-26,
tx-4343-congress-ave-axis-on-wycliff-phase-i,Axis at Wycliff,(469) 718-8501,Bell Partners,,https://bellpartnersinc.com/properties/axis-at-wycliff/,2026-09-26,
tx-2728-cedar-springs-rd-brady-apts,Brady Residences,(214) 720-1800,Willow Bridge Property Co,,https://www.liveatbrady.com/,2026-09-26,
tx-915-s-harwood-st-amelia-at-farmers-market,Amelia at Farmers Market,(855) 724-2575,Kairoi Residential,,https://www.kairoi.com/portfolio/amelia-farmers-market/,2026-09-26,
tx-9550-meyer-forest-dr-9550-meyer-forest-dr,Lakeside (Meyer Park),(281) 644-0273,Greystar,,https://www.apartments.com/lakeside-houston-tx/q0c9jqw/,2026-09-26,
tx-700-cavalcade-st-700-cavalcade-st,Ainsley Heights (was Lincoln Heights),(281) 699-8035,,,https://ainsleyheights.com/contact/,2026-09-26,
tx-1100-lake-carolyn-pkwy-eastshore-on-lake-carolyn,Eastshore on Lake Carolyn,(972) 869-1100,ZRS Management,,https://www.eastshorelakecarolyn.com/contactus,2026-09-26,
tx-12121-audelia-rd-the-bentley,The Bentley (now The Linden Apartments),(469) 990-4259,,,https://www.bentleydallasapts.com/,2026-09-26,
tx-7165-lake-ridge-pkwy-jefferson-peninsula,Aven at the Cove (was Jefferson Cove),(682) 327-1384,Pinnacle Properties,,https://jeffersoncove.com/,2026-09-26,
tx-9404-west-rd-9404-west-rd,Discovery at West Road (was Watermarke),(832) 756-8153,,,https://www.discoveryatwestroad.com/,2026-09-26,
tx-2410-s-kirkwood-rd-2410-s-kirkwood-rd,The Park at Pisa (was Wyndham Oaks),(281) 688-1273,RPM Living,,https://www.theparkatpisa.com/contact,2026-09-26,
tx-9737-forest-ln-the-baxter,The Baxter,(469) 472-2590,,,https://www.thebaxterapts.com/,2026-09-26,
tx-8901-bissonnet-st-8901-bissonnet-st,Stoneriver Apartments,(833) 520-1243,Villa Serena Communities,,https://www.villaserenacommunities.com/stoneriver/contact,2026-09-26,
tx-14403-ella-blvd-14403-ella-blvd,Morgan Bay,(346) 810-6889,,leasing@morganbayliving.com,https://www.morganbayliving.com/contact/,2026-09-26,
tx-4722-meadow-st-rosemont-at-meadow-lane-txa20040290,Rosemont at Meadow Lane,(214) 426-0100,Asset Living,,https://www.apartments.com/rosemont-at-meadow-lane-dallas-tx/zrbkjww/,2026-09-26,
tx-9447-concourse-dr-9447-concourse-dr,,,,,,2026-09-26,searched 2026-09-26: no apartment community listed at this address. The Montclair is at 9445 Concourse -- two doors down and not close enough to attach a phone to.
tx-9835-w-valley-ranch-pkwy-camden-valley-park,Camden Valley Park,(972) 848-8807,Camden Property Trust,,https://www.camdenliving.com/apartments/irving-tx/camden-valley-park/available-apartments,2026-09-26,
tx-2795-n-buckner-blvd-lake-lofts-phase-1,The Lake Lofts,(214) 320-0164,Dynasty,the-lake-lofts@rent.dynasty.com,https://www.zillow.com/apartments/dallas-tx/the-lake-lofts-apartment/ChPTKf/,2026-09-26,
tx-1414-s-dairy-ashford-rd-1414-s-dairy-ashford-rd,Barnett (was Aventura 1414),(281) 937-8894,,,https://www.barnettluxuryliving.com/,2026-09-26,
tx-6501-legacy-dr-plano-tx-the-parks-at-legacy-west,The Parks at Legacy West,,StreetLights Residential (developer),,https://streetlights.com/properties/the-parks-at-legacy-west/,2026-09-26,"261 units confirmed; 22-storey tower, construction starts June 2026 and completes Feb 2029, so there is no leasing office to call yet"
tx-14651-philippine-st-14651-philippine-st,Kensington Crossings,(346) 268-5190,Roscoe Properties,leasing1@kensington-crossings.com,https://www.kensington-crossings.com/contact/,2026-09-26,
tx-2500-n-houston-st-cirque-residential-tower,Cirque Residences,(214) 331-8439,Greystar,,https://www.greystar.com/cirque-residences-dallas-tx/p_22868,2026-09-26,
tx-3422-firewheel-pkwy-alta-firewheel,Alta Firewheel (also listed as Sundance at Firewheel),(945) 942-0350,,live@altafirewheel.com,https://altafirewheel.com/contact/,2026-09-26,
tx-611-shepherd-dr-611-shepherd-dr,611 Shepherd (was Windsor Shepherd),(346) 644-8952,Greystar,,https://www.greystar.com/611-shepherd-houston-tx/p_23121,2026-09-26,
tx-3109-douglas-ave-park-west,Park West,(214) 219-3100,Lincoln Property Company,,https://parkwestoaklawn.com/contact/,2026-09-26,
tx-13250-emily-rd-the-grove-at-rosewood,The Grove at Rosewood,(972) 807-5249,Milestone Management,,https://www.groveatrosewood.com/,2026-09-26,
tx-9600-forest-ln-forest-cove,North Star Apartment Homes (was Forest Cove),(682) 401-8935,,,https://www.apartments.com/forest-cove-dallas-tx/bfcxpsc/,2026-09-26,
tx-8990-richmond-ave-8990-richmond-ave,The Granite Club,(713) 975-7020,,,https://www.graniteclubapts.com/contact_us/,2026-09-26,
tx-9401-tanager-st-9401-tanager-st,,(346) 283-2184,,,https://www.affordablehousing.com/houston-tx/9401-tanager-st-834284/,2026-09-26,
tx-11110-woodmeadow-pkwy-creekstone-apts,Creekstone,(430) 260-3247,,,https://creekstoneapts.com/contact/,2026-09-26,
tx-14208-heritage-cir-ventana-at-valwood,Ventana at Valwood,(844) 501-1608,Dayrise Residential,,https://ventanaatvalwood.com/,2026-09-26,
tx-500-w-pasadena-blvd-500-w-pasadena-blvd,Villages at Parktown,(832) 429-2452,Mission Rock Residential,,https://www.missionrockresidential.com/apartments/tx/deer-park/villages-at-parktown/map-and-directions,2026-09-26,
tx-2212-mckinney-ave-jordan-uptown,The Jordan by Windsor,,Windsor Communities,,https://www.zillow.com/b/the-jordan-by-windsor-dallas-tx-BS7MBL/,2026-09-26,"212 residences confirmed, matching our record; listed at 2355 Thomas Ave rather than 2212 McKinney. No leasing number published on any listing."
tx-15505-hillcrest-rd-prestonwood-hillcrest-apts,Prestonwood Hillcrest Apartments,(972) 782-5838,,,https://liveatprestonwood.com/,2026-09-26,
tx-228-seventh-st-victor-prosper-ii,Victor Prosper II,(877) 732-5158,,,https://livevictorprosper.com/contact/,2026-09-26,
tx-9180-forest-ln-millennium-dallas-apts,Millennium Dallas,(214) 341-4460,,leasing@millenniumdallas.com,https://www.millenniumdallas.com/contact,2026-09-26,
tx-750-fort-worth-ave-sylvan-thirty,Sylvan Thirty,(214) 573-8700,,,https://www.apartments.com/sylvan-thirty-dallas-tx/3xh9fde/,2026-09-26,
tx-10062-royal-ln-alista,The Alista Apartments,(214) 349-0611,Valiant Residential,,https://www.thealistadallas.com/,2026-09-26,
tx-900-frances-way-oakline,Oakline Apartments,(972) 690-5456,,,https://www.rentcafe.com/apartments/tx/richardson/oakline-apartments/default.aspx,2026-09-26,
tx-9660-forest-ln-north-star-phase-2,North Star Apartment Homes,(945) 263-3676,,,https://www.thenorthstarapts.com/contact,2026-09-26,
tx-14814-perthshire-rd-14814-perthshire-rd,The Palms at Memorial,(281) 493-2290,,,https://www.har.com/palms-at-memorial-the/apartment_1760A,2026-09-26,
tx-9801-w-valley-ranch-pkwy-camden-valley-park-ii,Camden Valley Park II,(972) 848-8807,Camden Property Trust,,https://www.camdenliving.com/apartments/irving-tx/camden-valley-park,2026-09-26,
tx-8410-s-westmoreland-rd-rosemont-at-hickory-trace-txa00000501,Hickory Trace Townhomes (was Rosemont at Hickory Trace),(972) 298-6308,,,https://www.hickorytracetownhomes.com/,2026-09-26,
tx-3030-elizabeth-st-uptown-at-cole-park,Uptown at Cole Park,(469) 730-4880,,,https://www.uptownatcolepark.com/,2026-09-26,
tx-8300-w-airport-blvd-8300-w-airport-blvd,Airport Crossing,(713) 988-2294,,,https://www.airportcrossingapts.com/contact,2026-09-26,
tx-3035-e-ledbetter-dr-the-francisco,The Francisco Apartments,(214) 730-0062,,,https://www.apartments.com/the-francisco-dallas-tx/bq1h348/,2026-09-26,
tx-13333-northborough-dr-13333-northborough-dr,,,,,,2026-09-26,searched 2026-09-26: units at this address are listed individually with no named community and no leasing office published
tx-209-s-clark-rd-hanger,The Hangar,(972) 293-7555,Brazos Residential,,https://www.brazosthehangar.com/,2026-09-26,
tx-10588-stone-canyon-rd-everton-at-bellmar,Everton at Bellmar,(214) 609-1977,Knightvest Capital,,https://www.rentcafe.com/apartments/tx/dallas/everton-at-bellmar/default.aspx,2026-09-26,
tx-915-silber-rd-915-silber-rd,Legends of Memorial,(713) 561-5097,,,https://www.apartments.com/legends-of-memorial-houston-tx/ktjqze9/,2026-09-26,
tx-10570-stone-canyon-rd-riverfalls-park,Riverfalls at Bellmar (was Riverfalls Park),(469) 405-3174,Knightvest Capital,,https://www.apartments.com/riverfalls-at-bellmar-dallas-tx/0tfmfd0/,2026-09-26,
tx-4020-mcewen-rd-midway-row-house,Midway Row House,(469) 457-2730,Gables Residential,,https://www.gables.com/Midwayrowhouse,2026-09-26,
tx-11111-woodmeadow-pkwy-gable-point,Gable Point,(972) 279-4018,,,https://www.gablepointapts.com/,2026-09-26,
tx-3602-easton-meadows-dr-the-meadows,The Meadows,(972) 303-2500,Brazos Residential,,https://www.brazosthemeadows.com/,2026-09-26,
tx-6044-e-lovers-ln-grand-reserve-upscale-townhomes,Grand Reserve Townhomes (also listed as Perry Row),(469) 949-3102,,,https://riseapartments.com/apartment/grand-reserve-townhomes-dallas/,2026-09-26,
tx-9312-beck-ave-residences-of-white-rock-lake-12-fire-damaged-uni,Residences at White Rock Lake,(469) 778-2141,,,https://www.apartments.com/residences-at-white-rock-lake-dallas-tx/vvc97qe/,2026-09-26,
tx-5827-blackwell-st-haven,Haven Apartments,(214) 361-0037,Legend Management,thehavenleasing@legendmgmt.com,https://www.havenapartmentsdallas.com/contact_us/,2026-09-26,
tx-7879-riverfall-dr-waterford,Waterford at Bellmar,(214) 855-7742,Knightvest Capital,,https://www.waterfordatbellmar.com/,2026-09-26,
tx-13355-northborough-dr-13355-northborough-dr,Canfield Lakes,(281) 872-8880,,,https://www.apartments.com/canfield-lakes-houston-tx/xsv94cq/,2026-09-26,
tx-1910-argentia-dr-apartments-at-1910-argentia-dr,The Parks at Wynnewood (also listed as Hillburn Hills),(214) 943-4343,,,https://www.apartments.com/parks-at-wynnewood-apartments-dallas-tx/6dclw8t/,2026-09-26,
tx-8117-barclay-st-villas-del-rey,Villas Del Rey,(214) 381-7157,Savoy,,https://www.livesavoy.com/villas-del-rey/,2026-09-26,
tx-902-cleveland-st-902-cleveland-st,,,,,,2026-09-26,"searched 2026-09-26: Fourth Ward building from 2012, listed unit by unit with no named community and no leasing office published"
tx-123-winkler-dr-123-winkler-dr,Envue Square (was Winkler Villa),(713) 649-2766,,,https://www.envuesquareapts.com/,2026-09-26,
tx-17610-cali-dr-17610-cali-dr,Cali Crossing,(832) 299-1922,Implicity Management,CaliC@ImplicityManagement.com,https://www.calicrossingapartments.com/contact_us/,2026-09-26,
tx-4503-lake-ave-parea-oak-lawn,Parea Oak Lawn,(469) 916-6872,,,https://www.rentcafe.com/apartments/tx/dallas/4503-lake-avenue-dallas-tx-75219/default.aspx,2026-09-26,
tx-4619-lake-ave-casa-valencia,Casa Valencia,(214) 780-0105,,,https://www.livecasavalencia.com/contactus,2026-09-26,
tx-3050-remond-dr-the-villas-of-remond,Villas of Remond,(214) 468-4230,Pinnacle Family of Companies,,https://www.villasremond.com/,2026-09-26,
tx-9401-coventry-square-dr-9401-coventry-square-dr,Coventry Park,(832) 945-1593,,,https://www.har.com/coventry-park/apartment_1313A,2026-09-26,
tx-7130-gaston-ave-verandah-flats,Verandah Flats,(972) 373-4548,Power Properties,leasing@powerproperties.com,https://www.apartments.com/veranda-flats-dallas-tx/yf3nrcs/,2026-09-26,
tx-3602-n-country-club-rd-braxton-apts,The Flats off Country Club (was The Braxton),(469) 923-5620,,,http://www.livebraxton.com/,2026-09-26,
tx-7800-w-airport-blvd-7800-w-airport-blvd,Amritta Apartments,(713) 723-1221,,,https://www.apartments.com/amritta-apartments-houston-tx/y25qqlv/,2026-09-26,
tx-10202-challenger-7-dr-10202-challenger-7-dr,Jacinto Palms,(713) 675-7776,,,https://www.apartments.com/jacinto-palms-houston-tx/ygpcvmv/,2026-09-26,
tx-6109-bay-island-dr-bay-island-apts-2,Bay Island at Harbor Point,(972) 535-6299,,,https://www.liveatbayisland.com/Contact.aspx,2026-09-26,
tx-195-w-davis-st-bishop-arts-station-zang-block,Victor Prosper,(877) 732-5158,,,https://livevictorprosper.com/contact/,2026-09-26,same community as Victor Prosper II at 228 W 7th; 195 W Davis is the leasing address
tx-220-bammel-westfield-rd-220-bammel-westfield-rd,Reveal at Rye 220,(832) 666-7599,Apartment Management Consultants,,https://www.homes.com/property/reveal-at-rye-houston-tx/5lltmd4nyetjk/,2026-09-26,
tx-1415-w-airport-fwy-embassy-apts,Embassy Apartments,,,,https://www.apartments.com/embassy-apartments-irving-tx/p79e0ns/,2026-09-26,"searched 2026-09-26: listed on six sites, none publishes a leasing number. 111 units, built 1964, confirming our record."
tx-821-s-nursery-rd-brentwood-apts,Brentwood Apartments,(469) 472-9056,,,https://brentwoodirving.com/,2026-09-26,
tx-5918-ridgecrest-rd-claridge-point,,,,,,2026-09-26,"searched 2026-09-26: Claridge Point appears on one listing site with no contact details, and no other site carries the address. Neighbouring Ridgecrest properties are separate communities."
tx-6809-larmanda-st-stratford-midtown,Stratford Hill I/II @ Midtown,(214) 341-2400,Pallas Midtown,Stratford@PallasMidtown.com,https://pallas-midtown.com/communities/stratford-hill-i-ii-midtown-apartments,2026-09-26,
tx-900-w-spring-valley-rd-lakefront-villas,Lakefront Villas,(972) 994-9400,,,https://lakefrontvillasapartments.com/contactus.aspx,2026-09-26,
tx-1519-annex-ave-the-eastern,The Eastern,(972) 924-5628,,,https://www.theeasternapts.com/contact_us/,2026-09-26,
tx-13350-northborough-dr-13350-northborough-dr,Canfield Lakes II,(281) 872-8880,,,https://www.apartmenthomeliving.com/apartment-finder/Canfield-Lakes-II-Houston-TX-77067-1987106,2026-09-26,"no number published for phase II; this is the Canfield Lakes leasing office at 13355 next door, which the listings describe as serving both"
tx-201-s-clark-rd-the-hanger,The Hangar,(972) 293-7555,Brazos Residential,,https://www.brazosthehangar.com/,2026-09-26,same community as the 209 S Clark Rd row; 201 is its published address
tx-15702-el-estado-dr-northwood-heights-15702-el-estado-dr,Northwood Heights,(972) 387-4595,Brazos Residential,,https://www.brazosnorthwoodheights.com/,2026-09-26,
tx-196-w-davis-st-bishop-arts-station-plaza-block,,,,,,2026-09-26,"searched 2026-09-26: no listing carries 196 W Davis. The neighbouring Bishop Arts Station block at 195 W Davis is Victor Prosper; this block is not separately listed, so no number is attached rather than borrowing that one."
tx-146-center-ct-146-center-ct,,,,,,2026-09-26,"searched 2026-09-26: listed on Trulia and Zillow as an address only, with no community name and no leasing office"
tx-2600-arroyo-ave-maverick-oak-lawn,Maverick Oak Lawn Townhomes,(214) 983-9592,,,https://www.liveatmaverickoaklawn.com/contact_us/,2026-09-26,
tx-4170-altoona-dr-tesoro-at-12,Tesoro at 12,(469) 238-1662,Tarantino Properties,,https://www.tesoroat12.com/,2026-09-26,
tx-911-sun-prairie-dr-911-sun-prairie-dr,The Reserve at Eagle Landing,(281) 729-0179,Disrupt Management,,https://www.thereserveateaglelanding.com/,2026-09-26,
tx-120-s-rogers-rd-country-brook-apts,,,,,,2026-09-26,"searched 2026-09-26: Country Brook Apartments is at 1322-1330 Rock Island Rd, a different street. No listing carries 120 S Rogers Rd as a community, so no number is borrowed."
tx-2911-kendale-dr-lakedale-apts,Lakedale Apartments,(945) 337-7194,,,https://www.apartments.com/lakedale-apartments-dallas-tx/s1zpk56/,2026-09-26,
tx-16700-golf-club-dr-16700-golf-club-dr,Spring Hill Village,(281) 328-3058,,,https://www.apartments.com/spring-hill-village-crosby-tx/kmbpcf9/,2026-09-26,
tx-822-hanszen-st-ewing-vilas-txa20030115,Ewing Villas,,Asset Living,,https://www.ewingvillas.com/,2026-09-26,listed at 811 Morrell Ave rather than 822 Hanszen; no listing publishes a number
tx-7808-s-hampton-rd-hampton-duplexes,Hampton Road Duplexes,,,,https://www.apartments.com/7808-s-hampton-rd-dallas-tx/hbnyw60/,2026-09-26,"searched 2026-09-26: duplexes with onsite management, listed on eight sites and none publishes a number"
tx-1000-s-allen-genoa-rd-1000-s-allen-genoa-rd,La Bella Vista,(281) 826-9181,G&M Properties,,https://www.apartments.com/la-bella-vista-south-houston-tx/690rt4r/,2026-09-26,same community as the 3600 S Shaver row; La Bella Vista spans both addresses
tx-3600-s-shaver-st-3600-s-shaver-st,La Bella Vista (was Villas Verde / Genoa Waterfalls),(281) 826-9181,G&M Properties,,https://www.trulia.com/building/la-bella-vista-3600-s-shaver-st-south-houston-tx-77587-1001567108,2026-09-26,
tx-911-w-wheatland-rd-wheatland-garden-apartments,Wheatland Gardens,(972) 228-8888,Myan Management,,https://www.myanmanagement.com/property/416/,2026-09-26,
tx-8030-w-airport-blvd-8030-w-airport-blvd,Aven East (also listed as Townhome Apartments),(713) 988-2294,,,https://www.apartments.com/aven-east-houston-tx/ttkpm7c/,2026-09-26,shares the leasing office with Airport Crossing at 8300 W Airport
