apt_id,website,website_source,confidence,query,notes,area
42075080000000000,https://www.agingchoices.com/provider/encore-at-buckingham-richardson-tx/a1d5a7ba-efe1-4c51-b45a-9a23facdc159,search,medium,"""Encore At Buckingham (Senior Living)"" 535 Buckingham Rd Richardson TX apartments","Encore at Buckingham, Richardson TX",dallas
65034559010010000,https://housing.utdallas.edu/housing-options/university-village/,search,high,Utd Phase 6 Housing (Apartment Style) Richardson TX apartments official site,UTD - University Village | Housing,dallas
42138500010010000,https://www.fallsonclearwoodapts.com/,search,high,"""Falls On Clearwood"" 613 Clearwood Dr Richardson TX apartments","Apartments in Richardson, TX | Falls on Clearwood | Home",dallas
42232500000030000,https://www.windhamchase.com/,search,high,"""Windham Chase"" 1330 W Spring Valley Rd Richardson TX apartments",Windham Chase: Home,dallas
421046500S01B0000,https://www.simpsonpropertygroup.com/apartments/richardson-texas/brick-row-apartments-downtown-plano,search,medium,Brick Row Apts Bldg A The Quarters Richardson TX apartments official site,"Richardson, TX Apartments | Brick Row",dallas
42086400000010000,https://www.oaklineapts.com/,search,high,"""Oakline"" 900 Frances Way Richardson TX apartments",Oakline Apartments | Home Page,dallas
42099310010010000,https://www.madisononmelrose.com/,search,high,"""Madison On Melrose"" 1520 Richardson Dr Richardson TX apartments",Madison at Melrose: Apartments with Yards in Richardson TX,dallas
42002600010010000,https://livebh.com/apartments/cutters-point-apartment-homes/,search,high,"""Cutters Point"" 1111 Abrams Rd Richardson TX apartments",Cutters Point Apartment Homes,dallas
42124900000010000,https://www.liveprestonwood.com/,search,high,"""Prestonwood"" 333 Prestonwood Dr Richardson TX apartments","Prestonwood Apartments in Richardson, TX | Pet-Friendly",dallas
42232500000010000,https://www.shenandoahatspringvalley.com/,search,high,"""Shenandoah"" 939 Allegheny Ct Richardson TX apartments","Shenandoah Apartments | Apartments in Richardson, TX",dallas
42269700000010000,https://www.ourcommunityrealty.com/listings/detail/24df28bc-ab99-4a46-ba2b-5ee6e69db654,search,high,"""Lakeside On Spring Valley"" 1000 W Spring Valley Rd Richardson TX apartments","1000 W Spring Valley Rd - 156, Richardson, TX 75080",dallas
422446000A01A0000,https://twinriversseniorliving.com/,search,high,"""Twin Rivers Senior Living"" 201 S Glenville Dr Richardson TX apartments","55+ Senior Retirement Living in Richardson, TX | Twin Rivers",dallas
42043700000010000,,search,none,"""Valley Estates"" 929 St Paul Dr Richardson TX apartments","blanked: apartmentsearch.com is an aggregator, not the property's own site",dallas
420716000101B0000,https://www.trelliscanyoncreek.com/,search,high,"""Trellis Canyon Creek"" 2301 N Central Expy Richardson TX apartments","TRELLIS CANYON CREEK Apartments in Richardson, Texas",dallas
42256600020060000,https://www.student.com/us/tx/richardson/p/university-village-apartments-ljav6s,search,medium,University Village Apts (Ecu) Richardson TX apartments official site,"University Village Apartments, Richardson",dallas
42118500010220000,https://www.mycamelotapts.com/,search,high,"""Camelot"" Richardson TX apartments","Camelot Apartments - Apartment Living in Richardson, TX",dallas
65034559010020000,https://cccres.com/apartments/detail/utd-phase-7-housing-apartment-style-richardson,search,high,"""Utd Phase 7 Housing (Apartment Style)"" 2400 Armstrong Pkwy Richardson TX apartments",UTD PHASE 7 HOUSING (APARTMENT STYLE) RICHARDSON...,dallas
42241300000010000,https://apartmentwolf.com/property/lakefront-villas/,search,high,"""Lakefront Villas"" 900 W Spring Valley Rd Richardson TX apartments",Lakefront Villas,dallas
42213500010010000,https://www.movoto.com/richardson-tx/800-custer-rd-apt-256-richardson-tx-75080-4002_776x6d3gdkab/for-rent/,search,medium,"""Belle Grove At Custer"" 800 Custer Rd Richardson TX apartments","800 Custer Rd #256, Richardson, TX 75080 | 40 Photos",dallas
42213500020010000,https://cccres.com/apartments/detail/bell-grove-at-custer-richardson,search,medium,"""Bell Grove At Custer"" 700 Custer Rd Richardson TX apartments",700 CUSTER RD Apartments RICHARDSON — Apartments,dallas
420687500A0040000,https://www.liveherehousing.com/utdallas/review,search,low,"""Post Eastside Apt"" Richardson TX apartments",Review ‹ UTDALLAS Housing Richardson,dallas
42432150000010000,https://flbo-prod.azurewebsites.net/property/flbo6001902,search,low,"""Lafayette Square"" 915 S Waterview Dr Richardson TX apartments",925 S. Waterview Dr - For Lease By Owner,dallas
421046500O01C0000,https://cccres.com/apartments/detail/brick-row-the-point-richardson,search,high,"""Brick Row- The Point"" 151 Brick Row Richardson TX apartments",BRICK ROW- THE POINT RICHARDSON — 2 Bed Apartments,dallas
42149500020010000,,search,none,Heather Glen Richardson TX apartments official site,no acceptable result,dallas
42149500010020000,https://www.uspto.gov/news/og/2002/week53/patprac.htm,search,low,"""Tradewinds"" 104 S Bowser Rd Richardson TX apartments",Registration to Practice - OG Date: 31 December 2002,dallas
42234500000090000,https://texas.realest-us.org/post-75080.htm,search,low,"""Huntington Town"" 910 Spring Valley Plaza Richardson TX apartments","Post: 75080, County: Dallas, City: Richardson, Texas, Real estate ...",dallas
42233500010010000,https://www.livehillsdalegarden.com/,search,high,"""Hillsdale Garden"" 800 W Spring Valley Rd Richardson TX apartments","Hillsdale Garden ApartmentsRichardson , TX | Welcome Home",dallas
42149500020040000,https://legacyhomesandproperties.net/properties-for-sale/properties-for-sale-dallas/,search,low,"""Villa D Este"" 113 S Bowser Rd Richardson TX apartments","Dallas, TX Homes and Houses for Sale",dallas
42233500020010000,https://www.brazosoaksspringvalley.com/,search,high,"""Oaks At Spring Valley"" 740 W Spring Valley Rd Richardson TX apartments","Oaks at Spring Valley: Apartments in Richardson, TX",dallas
421046500N01B0000,https://cccres.com/apartments/detail/brick-row-apts-bldg-c-the-springs-richardson,search,medium,"""Brick Row Apts Bldg C The Springs"" 644 Brick Row Richardson TX apartments",644 BRICK ROW Apartments RICHARDSON — Apartments,dallas
42430550000350000,https://www.liveatnorthside.com/,search,high,Central North Richardson TX apartments official site,"Northside | UT Dallas Apartments in Richardson, TX",dallas
42430900000050000,https://reviews.birdeye.com/briarwood-apartments-166264080127384,search,high,"""Briarwood"" Richardson TX apartments","Briarwood Apartments - 9 Reviews - Real Estate in Richardson, TX ...",dallas
421446100A0020000,https://www.parkwoodapts.net/,search,high,"""Parkwood"" Richardson TX apartments","Parkwood Apartments: All Bills Paid Apartments in Irving, TX",dallas
42149500010040000,https://sandpiperhomes.ai/listing/95f6df8e-9917-4172-b7c6-21d38524d848,search,high,"""Sandpiper"" Richardson TX apartments",Comfortable 2BR Apartment in Richardson Near UTD & Dallas,dallas
42148500010310000,https://local.yahoo.com/info-28647083-eastgate-apartments-of-richardson-richardson/,search,high,"""Eastgate"" Richardson TX apartments",Eastgate Apartments of Richardson,dallas
42202500020010000,https://cccres.com/apartments/detail/lasalle-terrace-apts-richardson,search,medium,"""Lasalle Terrace"" 301 La Salle Dr Richardson TX apartments",301 LA SALLE DR Apartments RICHARDSON — 1 Bed ... - CCCRES,dallas
