Building,Address,City,State,Units,Stage,Opens,Sold,Buyer,Developer,Office phone,Management company,Contact source,Source,Source URL
William Cannon Apartments,FM Rd 1625,Austin,Texas,276,under construction,2028-04-01,,,Bradley Carol Ann C Trust,(325) 218-2182,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004733
Celina Multifamily,Knox ST and Collin County Outer Loop,Celina,Texas,272,under construction,2027-09-30,,,"Celina Apt Associates, L.L.C.",(330) 664-9430,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000344
Harmon Road Apartments,1701 E Harmon Rd,Fort Worth,Texas,252,under construction,2027-08-01,,,DD East Harmon LLC,(770) 474-4345,,,City of Fort Worth development permits,https://www.arcgis.com/home/item.html?id=d2740f4d746b4bfaa03e25de0376238b
Emberstone Apartments,Watson Road,San Antonio,Texas,247,under construction,2028-02-01,,,Emberstone Apartments LP,(317) 907-3870,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022601
"Lake Forest Senior Living, LLC",4656 W University Dr,Mckinney,Texas,222,permitted,2028-11-01,,,Kayasa Holdings LLC,(817) 233-1121,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2027001111
Stargaze Apartments,3271 East Ruben Torres BLVD.,Brownsville,Texas,206,under construction,2027-01-30,,,Startgaze Colony LLC,(956) 343-6375,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007120
Fairmont Residences,2585 W. Tidwell,Houston,Texas,204,under construction,2028-07-31,,,Tidwell 5 Dev LLC,(281) 221-2699,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023711
Ferris Casitas Multifamily Apartments,361 FM 983,Ferris,Texas,204,under construction,2027-08-01,,,"HSM Ferris Casitas, LLC",(214) 208-8299,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019315
Gateway Multifamily East,1800 IH 30 Hwy,Grand Prairie,Texas,177,permitted,2028-10-01,,,Grtp LTD,(214) 559-0091,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015283
Center St Multifamily East,3616 center st,Houston,Texas,172,under construction,2028-10-02,,,"Center St Owner (TX), LP",(512) 657-3433,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016802
Vistara Lofts,12500 Vista Del Sol Drive,El Paso,Texas,120,under construction,2027-06-30,,,"Chita, LP",(915) 500-1032,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020744
Balfour Flats Multifamily,700 E South Street,Arlington,Texas,99,under construction,2027-09-15,,,Balfour Flats Venture LP,(903) 278-7923,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022106
"Toler Developments LLC, Residences at Toler, Ph. 2",1900 Toler Road,Longview,Texas,96,under construction,2027-03-01,,,Toler Developments,(903) 812-9897,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004251
Hidalgo Apartments,3434 Hidalgo Dr,Dallas,Texas,93,under construction,2027-12-31,,,Arham Land Holdings LLC,(469) 980-8532,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016781
6802 Marbach Lofts,1611 Pinn Road,San Antonio,Texas,78,under construction,2027-08-01,,,6802 Marbach Lofts Ltd.,(512) 202-9011,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006304
Tezel Road Apartments,5590 Tezel Road,San Antonio,Texas,78,under construction,2028-06-30,,,Tezel Road Apartments Ltd.,(512) 202-9011,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015360
Pleasanton Multifamily,1100 Pleasanton Rd,San Antonio,Texas,72,under construction,2028-01-01,,,"Fierro Enterprises, LLC",(210) 534-4315,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026577
N. Elm Multi-Family,3301 N. Elm,Denton,Texas,67,under construction,2028-06-30,,,Sy3M LLC,(214) 228-5338,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000110
Maple Lofts,2422 Graham Street,Grand Prairie,Texas,65,permitted,2028-04-27,,,"KCG Maple Lofts, LP",(317) 708-6519,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2027001346
Fort Worth Apartments - Building 2,3320 Hemphill St,Fort Worth,Texas,56,under construction,2028-01-01,,,"Fort Worth Residences, LLC",(205) 202-9262,,,City of Fort Worth development permits,https://www.arcgis.com/home/item.html?id=d2740f4d746b4bfaa03e25de0376238b
Pine Creek Senior Living,"Lovers Lane, Bastrop, TX 78602",Bastrop,Texas,52,under construction,2027-07-30,,,"Pine Creek Bastrop, LP",(214) 336-7495,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007055
Floyd Casey Development VM-2 Retail/Apartments,914 S. Valley Mills Dr.,Waco,Texas,32,permitted,2028-04-01,,,"Floyd Casey-One, LLC",(254) 759-8027,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026765
Bowser Multifamily,4516 Bowser Avenue,Dallas,Texas,28,under construction,2027-04-05,,,Siekielski Matt & Shea Living Trust,(214) 232-9984,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002511
Patricia On Arbor Apartments,2008 & 2014 Arbor Street,Houston,Texas,24,permitted,2028-10-01,,,Arbor Development Company LLC,(713) 302-4438,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017265
Apartments at 7333 Bluff Springs Rd Bldg 3,7333 Bluff Springs Rd Bldg 3,Austin,Texas,20,under construction,2027-02-01,,,"RPMD 7333 Bluff Springs Road Owner, LLC",(512) 762-9541,,,City permit record,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13748405
The Oaks At Carrell Street Apartments,722 Carrell St.,Tomball,Texas,20,under construction,2027-06-18,,,Oaks At Carrell Street LLC,(281) 394-1172,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024549
Collin Creek Multifamily,"811 N Central Expressway, Plano, TX 75075",Plano,Texas,,permitted,2027-07-30,,,,,,,City filing,https://www.zabalist.com/projects/TABS2026023342
JLB West Cityline,"3500 Routh Creek Pkwy, Richardson, TX 75082",Richardson,Texas,,permitted,2027-06-30,,,,,,,City filing,https://www.zabalist.com/projects/TABS2025022864
Haggard Farm,"Spring Creek Parkway and Parkwood Boulevard, Plano, TX 75024",Plano,Texas,,under construction,2027-10-01,,,,,,,News,https://communityimpact.com/plano/development/haggard-farm-development-going-vertical-in-coming-months/
19th Street Apartments,2615 19th Street,Lubbock,Texas,,under construction,2028-06-01,,,Pinecrest 2601/2615 19th LLC,(646) 385-3169,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008632
201 Boyett Street Apartments,201 Boyett St,College Station,Texas,,under construction,2027-06-02,,,"Parallel, Co",(512) 265-1130,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009675
5550 LBJ Multifamily - Phase I,5550 LBJ Freeway,Dallas,Texas,,under construction,2028-02-01,,,"LBJ Financial JV, LLC",(806) 224-3380,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005264
811 Park Lofts,811 Park Ave,San Antonio,Texas,,under construction,2027-03-01,,,811 And 815 E Park Ave LLC,(210) 540-6000,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005754
Avanti Hills Apartments,2235 East Glen Blvd.,Mesquite,Texas,,under construction,2028-01-28,,,KCG Avanti Hills LP,(317) 708-6519,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007797
Avenue A Multifamily,1234 Avenue A,Denton,Texas,,under construction,2027-05-28,,,1234 Ave A LLC,(972) 965-2071,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005363
Buena Vida Multifamily Phase 1,1525 E Tyler St,Brownsville,Texas,,under construction,2027-04-21,,,The Housing Authority Of The City Of Brownsville,(856) 214-1530,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009832
Buena Vida Multifamily Phase 2,1500 Ringgold St,Brownsville,Texas,,under construction,2027-04-21,,,The Housing Authority Of The City Of Brownsville,(956) 214-1530,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009834
Build-To-Rent Multi-Family (New Construction),Northeast corner of FM 1385 & Tudor Pl,Celina,Texas,,under construction,2027-01-01,,,Mrp Tmhcbtr LLC,(903) 521-5340,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015127
Camp Wisdom Senior Living,1431 W Camp Wisdom Road,Dallas,Texas,,permitted,2028-10-16,,,"Texaz Perceptions Partners, LTD",(214) 739-5553,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026021731
Collin Creek Multifamily S1,811 N Central Expressway,Plano,Texas,,under construction,2027-07-30,,,Centurion American,(469) 892-7200,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023342
Copperfield Drive Apartments,4251 Boonville Road,Bryan,Texas,,under construction,2028-01-09,,,"Adam Development Properties, L.P.",(979) 776-1111,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008710
Crescendo Apartments at Elm Park,34th Street and Milwaukee Avenue,Lubbock,Texas,,under construction,2027-03-31,,,"Tigris Holdings, LLC",(806) 687-8888,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002457
Dosuns Apartments,14805 Lindita Drive,Houston,Texas,,under construction,2028-03-10,,,Dosuns Holding Corporation,(210) 287-9339,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010419
Durango Apartments,427 S Presa St,San Antonio,Texas,,permitted,2028-12-31,,,"Durango Owner, LLC",(609) 634-3332,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026024986
E. MLK Apartment,4810 E. MLK Blvd,Austin,Texas,,under construction,2027-12-01,,,2654 Imperial Crossing LLC,(281) 296-2367,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010049
Eden Apartment Building,325 King Lane,Garland,Texas,,under construction,2028-01-31,,,Hills and Valleys Properties LLC,(972) 809-8722,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007598
Falcon Senior Living,East State Highway 71,Horseshoe Bay,Texas,,under construction,2027-01-15,,,Falcon Senior Housing,(925) 708-8994,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011961
Foxfern I-30 Apartments,305 W Interstate Highway 30,Grand Prairie,Texas,,under construction,2027-12-01,,,"Foxfern Holdings, LLC",(214) 729-9042,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006454
Foxlake II Apartments,19615 Park Row Blvd.,Houston,Texas,,under construction,2027-12-01,,,"OHT Foxlake II, LP",(512) 220-7816,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019864
Franklin Branch Apartments,3565 FM 1461,Mckinney,Texas,,permitted,2028-11-04,,,Franklin Branch Apartments Ltd.,(512) 202-9011,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025468
Gateway West Apartments,North Gateway Boulevard,Forney,Texas,,under construction,2027-08-25,,,"Forney Residential XXIII, LP",(214) 360-1831,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020563
Horizon Estates Apartments,975 S. Horizon Blvd.,Socorro,Texas,,under construction,2027-09-30,,,Arh Horizon Estates LLC,(915) 532-3100,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020039
Haynes Lofts,9427 SE 410,San Antonio,Texas,,under construction,2027-09-15,,,Sabot Development LTD,(512) 565-7509,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013167
Highway 3 Apartments,16200 State Highway 3,Webster,Texas,,under construction,2027-08-13,,,"OHT Dev Holding, LLC",(512) 220-7816,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017346
Inwood Senior Living,3700 Inwood Road,Dallas,Texas,,under construction,2027-05-31,,,Harbert South Bay,(214) 370-2632,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022308
Lofts at Birdwell Phase 1,TBD Birdwell Lane,Big Spring,Texas,,under construction,2027-05-01,,,Big Spring Multifamily #1 LP,(512) 658-9070,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017966
Memphis Ave Apartment Complex,1103 N Memphis Ave,Lubbock,Texas,,under construction,2027-07-01,,,5G Memphis LLC,(806) 438-9328,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011968
Montrose Multifamily Development Foundation Package,1005 Westheimer Rd,Houston,Texas,,under construction,2028-01-21,,,Scd Montrose Houston LLC,(917) 438-4500,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016217
Moontower Flats,1910 E Martin Luther King Jr Blvd,Austin,Texas,,under construction,2027-07-31,,,Building/Facility Owner: Texas State Affordable Housing Corporation,(512) 477-3562,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020604
NRP 301 Lofts,13388 W. US Highway 90,San Antonio,Texas,,permitted,2028-07-01,,,301 Lofts Ltd.,(844) 677-0002,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019962
Oak Springs Apartments,2900 Oak Springs,Austin,Texas,,under construction,2028-10-31,,,2900 Oak Springs Horizontal Investors LP,(512) 774-4750,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007992
Oak Street Family Multi-Family,401 E Oak Street,Granger,Texas,,under construction,2028-04-01,,,Hyo Sop Kim,(512) 565-0980,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015953
Palm Village Apartments,1400 Palm Blvd.,Brownsville,Texas,,under construction,2027-04-13,,,Uptown Brownsville LLC,(956) 574-9373,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016980
Pebble Hills Place Apartments,12670 Pebble Hills Blvd,El Paso,Texas,,under construction,2027-04-12,,,"GM Pebble Hills Place, LTD",(954) 507-6222,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007793
Pelican Pearland Town Center Multifamily,3200 Business Center Dr,Pearland,Texas,,under construction,2027-01-15,,,"CRP / Pelican Pearland Venture, LLC",(713) 871-8170,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007480
Prairie Lakes Multifamily,5081 FM 2001,Bula,Texas,,under construction,2028-07-31,,,"Continental Homes of Texas, LP",(972) 822-4848,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017372
Prosper Elms Apartments,634 N. Teel Parkway,Prosper,Texas,,under construction,2027-09-01,,,Fidelity National Title Agency INC,(972) 422-2000,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023098
Quarry Oaks Apartments,10911 Stonelake Boulevard,Austin,Texas,,under construction,2028-09-01,,,"10911 Stonelake, LP",(512) 638-2139,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018898
Randol Mill Apartments,2601 W Randol Mill Road,Arlington,Texas,,under construction,2027-11-01,,,"OHT Dev Holdings, LLC",(469) 722-4652,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025810
Rock Creek Apartments - Phase 2,SW Brewer Blvd,Fort Worth,Texas,,under construction,2027-05-30,,,AMFP VI Chisholm Trail II LLC,(212) 203-4964,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010443
Sterlingshire Apartments,9002 Sterlingshire St,Houston,Texas,,permitted,2027-10-01,,,Sterlingshire Preservation LLC,(212) 507-9325,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019665
St. Regis Residences,102 Asbury Street,Houston,Texas,,under construction,2028-06-02,,,"SR Luxury Condominium, LTD",(832) 795-7205,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007491
The Lofts at Allen Ridge Phase II,North Judge Ely Blvd,Abilene,Texas,,permitted,2028-07-02,,,Abilene Christian University,(325) 518-6615,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025156
The Ridge Apartments,8515 FM 969 Rd,Austin,Texas,,permitted,2028-07-01,,,3423 Investments LLC & MF Austin Ridge LLC,(512) 452-9902,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2027002013
Trinity East Village Senior Apartments,2611 Saint Charles,Houston,Texas,,under construction,2027-10-31,,,Trinity East United Methodist Church,(832) 280-7554,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004985
Union Grove Apartments,TBD Union Grove,Lufkin,Texas,,under construction,2027-06-01,,,Bruce Love,(936) 631-3110,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001346
West Centerville Active Senior Living,505 West Centerville Rd,Garland,Texas,,under construction,2027-10-01,,,M& A Development,(804) 999-4449,,,State project record,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019904
